"propertyid","quickrefid_x","propertynumber","legaldesc","legallocationcode","legallocationdesc","subblock","sublot","taxingunitlist","mapnumber","currmarketvalue","currassessedvalue","currlandvalue","currimprovmentvalue","curragvalue","marketvalue","assessedvalue","landvalue","improvmentvalue","agvalue","squarefootage","nbhdcode","nbhddesc","situs","situsstreetnumber","situsstreetname","situsstreetsuffix","situscity","situsstate","situszip","schooltaxingunits","segclass","actyrbuilt","deeddate","fplumbing","fnumhalfbath","feffyear","fsptb","defaultmarketareadesc","ma","maarea","ma2","maarea2","matotalarea","garage","garagearea","openporch","oparea","datadate","transfervaliditycode","pool","poolarea","patio","patioarea","dg","deck","deckarea","fbedrooms","dgarea"
"311229","R506253","R-16-4913-000A-0012","S9965 - PEARSON PLACE SEC 1, BLOCK A, Lot 12","S9965","S9965 - PEARSON PLACE SEC 1","A","12","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","936238.0","683331.0","152000.0","784238.0","0.0","658985.0","621210.0","117000.0","541985.0","0.0","3131.0","R256613C","R256613C PEARSON PLACE","9919 DOUBLE EAGLE PASS, AUSTIN, TX  78717","9919","DOUBLE EAGLE","PASS","AUSTIN","TX","78717","SRR","R6","2013.0","2013-06-25 00:00:00.000","2.0","1.0","2013.0","A1","WEST ROUND ROCK MRA","1.0","2483.0","1.0","648.0","3131.0","1.0","462.0","2.0","303.0","2022-04-13 04:00:02.307","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311236","R506260","R-16-4913-000A-0019","S9965 - PEARSON PLACE SEC 1, BLOCK A, Lot 19","S9965","S9965 - PEARSON PLACE SEC 1","A","19","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","746653.0","746653.0","152000.0","594653.0","0.0","522295.0","522295.0","117000.0","405295.0","0.0","2241.0","R256613C","R256613C PEARSON PLACE","9905 IVALENES HOPE DR, AUSTIN, TX  78717","9905","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2012.0","2013-04-30 00:00:00.000","2.0","","2012.0","A1","WEST ROUND ROCK MRA","1.0","2241.0","","0.0","2241.0","1.0","437.0","2.0","180.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311238","R506262","R-16-4913-000E-0001","S9965 - PEARSON PLACE SEC 1, BLOCK E, Lot 1","S9965","S9965 - PEARSON PLACE SEC 1","E","1","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","723066.0","540443.0","152000.0","571066.0","0.0","502978.0","491312.0","117000.0","385978.0","0.0","2101.0","R256613C","R256613C PEARSON PLACE","15912 DINK PEARSON LN, AUSTIN, TX  78717","15912","DINK PEARSON","LN","AUSTIN","TX","78717","SRR","R6","2014.0","2016-08-29 00:00:00.000","2.0","","2014.0","A1","WEST ROUND ROCK MRA","1.0","2101.0","","0.0","2101.0","1.0","400.0","2.0","168.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311239","R506263","R-16-4913-000E-0002","S9965 - PEARSON PLACE SEC 1, BLOCK E, Lot 2","S9965","S9965 - PEARSON PLACE SEC 1","E","2","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","734646.0","734646.0","152000.0","582646.0","0.0","514327.0","514327.0","117000.0","397327.0","0.0","2183.0","R256613C","R256613C PEARSON PLACE","15908 DINK PEARSON LN, AUSTIN, TX  78717","15908","DINK PEARSON","LN","AUSTIN","TX","78717","SRR","R6","2014.0","2016-10-27 00:00:00.000","2.0","1.0","2014.0","A1","WEST ROUND ROCK MRA","1.0","2183.0","","0.0","2183.0","1.0","460.0","2.0","126.0","2022-04-13 04:00:02.307","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"328958","R520725","R-16-4926-000B-0018","S10379 - PEARSON PLACE SEC 2, BLOCK B, Lot 18","S10379","S10379 - PEARSON PLACE SEC 2","B","18","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808,(4-6303)","900520.0","674281.0","152000.0","748520.0","0.0","647708.0","612983.0","117000.0","530708.0","0.0","3163.0","R256613C","R256613C PEARSON PLACE","9608 IVALENES HOPE DR, AUSTIN, TX  78717","9608","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2016.0","2016-11-16 00:00:00.000","2.0","1.0","2016.0","A1","WEST ROUND ROCK MRA","1.0","1918.0","1.0","1245.0","3163.0","1.0","441.0","1.0","39.0","2022-04-13 04:00:02.307","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"328975","R520742","R-16-4926-000H-0020","S10379 - PEARSON PLACE SEC 2, BLOCK H, Lot 20","S10379","S10379 - PEARSON PLACE SEC 2","H","20","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808,(4-6303)","854913.0","664378.0","152000.0","702913.0","0.0","621839.0","603980.0","117000.0","504839.0","0.0","2814.0","R256613C","R256613C PEARSON PLACE","15812 JEFFS LN, AUSTIN, TX  78717","15812","JEFFS","LN","AUSTIN","TX","78717","SRR","R6","2014.0","2014-12-15 00:00:00.000","3.0","1.0","2014.0","A1","WEST ROUND ROCK MRA","1.0","1596.0","1.0","1218.0","2814.0","1.0","690.0","2.0","252.0","2022-04-13 04:00:02.307","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"329016","R520783","R-16-4926-000M-0029","S10379 - PEARSON PLACE SEC 2, BLOCK M, Lot 29","S10379","S10379 - PEARSON PLACE SEC 2","M","29","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808,(4-6303)","792358.0","598238.0","152000.0","640358.0","0.0","558545.0","543853.0","117000.0","441545.0","0.0","2457.0","R256613C","R256613C PEARSON PLACE","10500 IVALENES HOPE DR, AUSTIN, TX  78717","10500","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2014.0","2015-01-29 00:00:00.000","3.0","","2014.0","A1","WEST ROUND ROCK MRA","1.0","2457.0","","0.0","2457.0","1.0","567.0","2.0","331.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"329018","R520785","R-16-4926-000M-0031","S10379 - PEARSON PLACE SEC 2, BLOCK M, Lot 31","S10379","S10379 - PEARSON PLACE SEC 2","M","31","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808,(4-6303)","783372.0","601594.0","152000.0","631372.0","0.0","562703.0","546904.0","117000.0","445703.0","0.0","2519.0","R256613C","R256613C PEARSON PLACE","10424 IVALENES HOPE DR, AUSTIN, TX  78717","10424","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2014.0","2015-01-27 00:00:00.000","3.0","","2014.0","A1","WEST ROUND ROCK MRA","1.0","2519.0","","0.0","2519.0","1.0","556.0","2.0","246.0","2022-04-13 04:00:02.307","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311223","R506247","R-16-4913-000A-0006","S9965 - PEARSON PLACE SEC 1, BLOCK A, Lot 6","S9965","S9965 - PEARSON PLACE SEC 1","A","6","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","799126.0","625984.0","152000.0","647126.0","0.0","575127.0","569076.0","117000.0","458127.0","0.0","2637.0","R256613C","R256613C PEARSON PLACE","10017 DOUBLE EAGLE PASS, AUSTIN, TX  78717","10017","DOUBLE EAGLE","PASS","AUSTIN","TX","78717","SRR","R6","2013.0","2018-09-28 00:00:00.000","2.0","1.0","2013.0","A1","WEST ROUND ROCK MRA","1.0","1977.0","1.0","660.0","2637.0","1.0","653.0","2.0","189.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311231","R506255","R-16-4913-000A-0014","S9965 - PEARSON PLACE SEC 1, BLOCK A, Lot 14","S9965","S9965 - PEARSON PLACE SEC 1","A","14","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","950894.0","688188.0","152000.0","798894.0","0.0","665611.0","625625.0","117000.0","548611.0","0.0","3131.0","R256613C","R256613C PEARSON PLACE","9911 DOUBLE EAGLE PASS, AUSTIN, TX  78717","9911","DOUBLE EAGLE","PASS","AUSTIN","TX","78717","SRR","R6","2013.0","2017-08-25 00:00:00.000","2.0","1.0","2013.0","A1","WEST ROUND ROCK MRA","1.0","2483.0","1.0","648.0","3131.0","1.0","462.0","3.0","424.0","2022-04-13 04:00:02.307","VALID","nan","nan","1","30","nan","nan","nan","nan","nan"
